Kanji	Keyword	KeywordWK	ElementsTree	Elements
諭	rebuke	Admonish		rebuke, say, words, keitai, mouth, meeting of butchers, butchers, meeting, umbrella, moon, month, flesh, part of the body, sword, sabre, saber
式	style	Ritual		style, arrow, craft
試	test	Try		test, say, words, keitai, mouth, style, arrow, craft
弐	II (two)			II, two, arrows, quiver
域	range	Region		range, soil, dirt, ground, pope, fiesta, mouth, one, floor
賊	burglar	Robber		burglar, shellfish, shell, clam, oyster, eye, animal legs, eight, ten, needle, fiesta
栽	plantation	Planting		plantation, Thanksgiving, harvest festival, ten, needle, fiesta, tree, wood
載	load	Publish		load, Thanksgiving, harvest festival, ten, needle, fiesta, car, vehicle
茂	overgrown	Luxuriant		overgrown, flowers, parade
戚	relatives	Relatives		relatives, half-uncle, uncle, cliff, above, small, little, parade, fiesta
成	turn into	Become		turn into, parade, sword, dagger
城	castle	Castle		castle, soil, dirt, ground, turn into, parade, sword, dagger
誠	sincerity	Sincerity		sincerity, say, words, keitai, mouth, turn into, sword, dagger, parade
威	intimidate	Majesty		intimidate, march, women, woman
滅	destroy	Destroy		destroy, water, water droplets, water pistol, march, fire
減	dwindle	Decrease		dwindle, water, water droplets, water pistol, march, mouth
蔑	revile	Scorn		revile, flowers, eye, cross-eyed, net, march
桟	scaffold	Jetty		scaffold, tree, wood, float, fiesta
銭	coin	Coin		coin, metal, gold, float, fiesta
浅	shallow	Shallow		shallow, water, water droplets, water pistol, float, fiesta
止	stop	Stop		stop, footprint
歩	walk	Walk		walk, stop, footprint, few
渉	ford	Ford		ford, water, water droplets, water pistol, walk, stop, footprint, few
頻	repeatedly	Frequent		repeatedly, walk, stop, footprint, few, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
肯	agreement	Agreement		agreement, stop, footprint, moon, month, flesh, part of the body
企	undertake	Plan		undertake, umbrella, stop, footprint
歴	curriculum	Continuation		curriculum, cliff, grove, tree, wood, stop, footprint, tree2, wood2
武	warrior	Military		warrior, one, arrow, stop, footprint
賦	levy			levy, shellfish, shell, clam, oyster, eye, animal legs, eight, warrior, one, stop, footprint, arrow
正	correct	Correct		correct, one, ceiling, stop, footprint
証	evidence	Evidence		evidence, say, words, keitai, mouth, correct, one, ceiling, stop, footprint
政	politics	Politics		politics, correct, one, ceiling, stop, footprint, taskmaster
定	determine	Determine		determine, house, mend
錠	lock	Lock		lock, metal, gold, determine, determined, house, mend
走	run	Run		run, soil, dirt, ground, mend
超	transcend	Ultra		transcend, run, soil, dirt, ground, mending, mend, summon, seduce, sword, dagger, mouth
赴	proceed	Proceed		proceed, run, soil, dirt, ground, mending, mend, magic wand, augury
越	surpass	Go Beyond		surpass, run, soil, dirt, ground, mending, mend, parade
是	just so	Absolutely		just so, sun, day, mend
題	topic	Topic		topic, just so, sun, day, mending, mend, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
堤	dike	Embankment		dike, soil, dirt, ground, just so, sun, day, mend
建	build	Build		build, brush, broom, stretch
鍵	key	Key		key, metal, gold, build, brush, broom, stretch
延	prolong	Prolong		prolong, drop, stop, footprint, stretch
誕	nativity	Birth		nativity, say, words, keitai, mouth, prolonged, drop, stop, footprint, stretch
礎	cornerstone	Foundation		cornerstone, stone, rock, grove, tree, wood, zoo, critters, tree2, wood2
婿	bridegroom	Groom		bridegroom, woman, zoo, critters, moon, month, flesh, part of the body
衣	garment	Clothes		garment, cloak, scarf, top hat, cloth, clothes, clothing
裁	tailor	Judge		tailor, Thanksgiving, harvest festival, ten, needle, fiesta, top hat, scarf, cloth, clothes, clothing, garment
装	attire	Attire		attire, turtle, samurai, top hat, scarf, cloth, clothes, clothing, garment
裏	back	Backside		back, top hat, scarf, computer
壊	demolition	Break		demolition, soil, dirt, ground, poltergeist, BernaE, ten, needle, eye, cross-eyed, net, top hat, scarf, cloth, clothes, clothing, garment
哀	pathetic	Pathetic		pathetic, top hat, scarf, mouth
遠	distant	Far		distant, earthenware jar, lidded crock, soil, dirt, ground, mouth, scarf, road
猿	monkey	Monkey		pack of wild dogs, earthenware jar, lidded crock, soil, dirt, ground, mouth, scarf
初	first time	First		first time, cloak, sword, dagger
巾	towel	Towel		towel
布	linen	Cloth		linen, by one's side, by one’s side, towel
帆	sail	Sail		sail, towel, mediocre, drop, wind
幅	hanging scroll	Width		hanging scroll, towel, wealth, one, ceiling, mouth, rice field, brains
帽	cap	Hat		cap, towel, risk, sun, day, eye
幕	curtain	Curtain		curtain, graveyard, flowers, sun, day, large, St. Bernard, towel
幌	canopy			canopy, towel, limpid, sun, day, ray, small, little, human legs
錦	brocade	Brocade		brocade, metal, gold, napkin, white, dove, towel
市	market	City		market, top hat, towel
柿	persimmon			persimmon, tree, wood, market, top hat, towel
姉	elder sister	Older Sister		elder sister, woman, market, top hat, towel
肺	lungs	Lung		lungs, moon, month, flesh, part of the body, market, top hat, towel
帯	sash	Belt		sash, buckle, apron, crown, towel
滞	stagnate	Stagnate		stagnate, water, water droplets, water pistol, sash, buckle, apron, crown, towel
刺	thorn	Stab		thorn, tree, wood, belt, sword, sabre, saber
制	system	Control		system, cow, belt, sword, sabre, saber
製	made in...	Manufacture		made in…, system, cow, belt, sword, sabre, saber, hat, scarf, cloth, clothes, clothing, garment
転	revolve	Revolve		revolve, car, rising cloud, two, elbow, wall
芸	technique	Acting		technique, flowers, rising cloud, two, elbow, wall
雨	rain	Rain		rain, weather
雲	cloud	Cloud		cloud, rain, weather, rising cloud, two, elbow, wall
曇	cloudy weather	Cloudy		cloudy weather, sun, day, cloud, rain, weather, rising cloud, two, elbow, wall
雷	thunder	Thunder		thunder, rain, weather, rice field, brains
霜	frost	Frost		frost, rain, weather, inter, Inter Milan, tree, wood, eye
冬	winter	Winter		winter, walking legs, ice
天	heavens	Heaven		heavens, heavens, one, ceiling, large
妖	bewitched	Supernatural		bewitched, woman, sapling
沃	irrigate			irrigate, water, water droplets, water pistol, sapling
橋	bridge	Bridge		bridge, tree, wood, angel, heavens, mouth, hood, mouth, mouth2
嬌	attractive			attractive, woman, angel, heavens, mouth, hood, mouth, mouth2
立	stand up	Stand		stand up, vase, top hat, horns, floor, one
泣	cry	Cry		cry, water, water droplets, water pistol, vase, stand up
章	badge	Chapter		badge, vase, stand up, sunflower, early, sun, day, ten, needle
競	vie	Compete		vie, vase, stand up, elder brother, teenager, mouth, human legs, vase2, stand up2, elder brother2, teenager2, mouth2, human legs2
帝	sovereign	Sovereign		sovereign, vase, stand up, top hat, apron, crown, towel
諦	renunciation	Give Up		give up, say, words, keitai, mouth, sovereign, vase, stand up, top hat, apron, crown, towel
童	juvenile	Juvenile		juvenile, vase, stand up, computer
瞳	pupil	Pupil		pupil, eye, juvenile, vase, stand up, computer
鐘	bell	Bell		bell, metal, gold, juvenile, vase, stand up, computer
商	make a deal	Merchandise		make a deal, vase, stand up, alien, hood, human legs, mouth
嫡	legitimate wife			legitimate wife, woman, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth
適	suitable	Suitable		suitable, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth, road
滴	drip	Drip		drip, water, water droplets, water pistol, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth
敵	enemy	Enemy		enemy, antique, vase, stand up, hood, old, tombstone, gravestone, church, ten, needle, mouth, taskmaster
匕	spoon			spoon, sitting on the ground
叱	scold	Scold		scold, mouth, diced, seven, spoon, sitting on the ground
匂	aroma	Scent		aroma, bound up, spoon, sitting on the ground
頃	about that time	Approximate		about that time, spoon, sitting on the ground, head, page, one, ceiling, drop, shellfish, shell, clam, oyster, eye, animal legs, eight
北	north	North		north, spoon, sitting on the ground
背	stature	Back		stature, north, spoon, sitting on the ground, moon, month, flesh, part of the body
比	compare	Compare		compare, spoon, sitting on the ground, spoon2, sitting on the ground2
昆	descendants	Insect		descendants, sun, day, compare, spoon, sitting on the ground, spoon2, sitting on the ground2
皆	all	All		all, compare, spoon, sitting on the ground, white, dove, spoon2, sitting on the ground2
楷	block letters			tree, compare, white, spoon, sitting on the ground, spoon2, sitting on the ground2
諧	orderliness			say, words, keitai, mouth, compare, white, drop, sun, day
混	mix	Mix		mix, water, water droplets, water pistol, descendants, sun, day, compare, spoon, sitting on the ground, spoon2, sitting on the ground2
渇	thirst	Thirst		thirst, water, water droplets, water pistol, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground
謁	audience			audience, say, words, keitai, mouth, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground
褐	brown			brown, cloak, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground
喝	hoarse	Scold		hoarse, mouth, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground
葛	kudzu			kudzu, flowers, mexican bandit, muchacho, siesta, sun, day, aroma, bound up, spoon, sitting on the ground
旨	delicious	Point		delicious, spoon, sitting on the ground, sun, day
脂	fat	Fat		fat, moon, month, flesh, part of the body, delicious, spoon, sun, day
詣	visit a shrine			visit a shrine, say, words, keitai, mouth, delicious, spoon, sitting on the ground, sun, day
壱	I (one)			1 (one), samurai, crown, spoon, sitting on the ground
毎	every	Every		every, reclining, lying down, mother
敏	cleverness	Alert		cleverness, every, reclining, lying down, mother, breasts, taskmaster
梅	plum	Ume		plum, tree, wood, every, reclining, lying down, mother, breasts
海	sea	Sea		sea, water, water droplets, water pistol, every, reclining, lying down, mother, breasts
乞	beg			beg, reclining, lying down, fishhook
乾	drought	Dry		drought, mist, ten, needle, early, sun, day, beg, reclining, lying down, fishhook, ten2, needle2
腹	abdomen	Belly		abdomen, moon, month, flesh, part of the body, fold back, double back, reclining, lying down, sun, day, walking legs
複	duplicate	Duplicate		duplicate, cloak, fold back, double back, reclining, lying down, sun, day, walking legs
欠	lack	Lack		lack, yawn, bound up, person
吹	blow	Blow		blow, mouth, lack, yawn
炊	cook	Cook		cook, fire, lack, yawn
歌	song	Song		song, cancan, can, mouth, street, nail, spike, lack, yawn, can2, mouth2, street2, nail2, spike2
軟	soft	Soft		soft, car, lack, yawn
次	next	Next		next, ice, lack, yawn
茨	briar	Briar		briar, flowers, next, ice, lack, yawn
資	assets	Resources		assets, next, ice, lack, yawn, shellfish, shell, clam, oyster, eye, animal legs, eight
姿	figure	Figure		figure, next, ice, lack, yawn, woman
諮	consult with	Consult		consult with, say, words, keitai, mouth, next, ice, lack, yawn, mouth, mouth2
賠	compensation	Compensation		compensation, shellfish, shell, clam, oyster, eye, animal legs, eight, muzzle, vase, stand up, mouth
培	cultivate	Cultivate		cultivate, soil, dirt, ground, muzzle, vase, stand up, mouth
剖	divide	Divide		divide, muzzle, vase, stand up, mouth, sword, sabre, saber
音	sound	Sound		sound, vase, stand up, sun, day, tongue wagging
暗	darkness	Dark		darkness, sun, day, sound, vase, stand up, sun, day, sun2, day2
韻	rhyme			rhyme, sound, vase, stand up, sun, day, employee, mouth, shellfish, shell, clam, oyster, eye, animal legs, eight
識	discriminating	Discerning		discriminating, say, words, keitai, mouth, kazoo, sound, vase, stand up, sun, day, fiesta
鏡	mirror	Mirror		mirror, metal, gold, mirror, vase, stand up, sun, day, human legs
境	boundary	Boundary		boundary, soil, dirt, ground, mirror, vase, stand up, see, sun, day, human legs
亡	deceased	Death		deceased, perish, top hat, fishhook
盲	blind	Blind		blind, deceased, perish, top hat, fishhook, eye
妄	delusion	Reckless		delusion, deceased, perish, top hat, fishhook, woman
荒	laid waste	Wild		laid waste, wreath, flowers, deceased, perish, top hat, fishhook, stream, flood
望	ambition	Hope		ambition, deceased, perish, top hat, fishhook, moon, month, flesh, part of the body, king, jewel, ball
方	direction	Direction		direction, compass
妨	disturb	Obstruct		disturb, compass, direction, woman
坊	boy	Monk		boy, soil, dirt, ground, compass, direction
芳	perfumed	Perfume		perfume, flowers, compass, direction
肪	obese	Obese		obese, moon, month, flesh, part of the body, compass, direction
訪	call on	Visit		call on, say, words, keitai, mouth, compass, direction
放	set free	Release		set free, compass, direction, taskmaster
激	violent	Fierce		violent, water, water droplets, water pistol, white, dove, compass, direction, taskmaster
脱	undress	Undress		undress, moon, month, flesh, part of the body, devil, horns, elder brother, teenager, mouth, human legs
説	explanation	Theory		rumor, say, words, keitai, mouth, devil, horns, elder brother, teenager, mouth, human legs
鋭	pointed	Sharp		pointed, metal, gold, devil, horns, elder brother, teenager, mouth, human legs
曽	formerly			formerly, increase, horns, rice field, brains, sun, day
増	increase	Increase		increase, soil, dirt, ground, increase, formerly, horns, rice field, brains, sun, day
贈	presents	Presents		presents, shellfish, shell, clam, oyster, eye, animal legs, eight, increase, formerly, horns, rice field, brains, sun, day
東	east	East		east, sun, day, rice field, tree, wood
棟	ridgepole	Pillar		ridgepole, tree, wood, east, tree, wood, sun, day, rice field, tree2, wood2
凍	frozen	Frozen		frozen, ice, east, tree, wood, sun, day, rice field
妊	pregnancy	Pregnant		pregnancy, woman, porter, drop, samurai
廷	courts	Courts		courts, porter, drop, samurai, stretch
染	dye	Dye		dye, water, water droplets, water pistol, nine, baseball, tree, wood
燃	burn	Burn		burn, fire, sort of thing, moon, crescent moon, evening, month, flesh, part of the body, chihuahua, dog, large, drop, oven-fire, drop4, barbecue, fire2
賓	V.I.P.	VIP		V.I.P., house, one, ceiling, few, shellfish, shell, clam, oyster, eye, animal legs, eight
歳	year-end	Years Old		year end, stop, footprint, one, little, small, march
県	prefecture	Prefecture		prefecture, eye, fishhook, small, little, straightened hook
栃	horse chestnut	Horse Chestnut		horse chestnut, tree, wood, Wimbledon, cliff, ten thousand, one, bound up
地	ground	Earth		ground, soil, dirt, ground, scorpion
池	pond	Pond		pond, water, water droplets, water pistol, scorpion
虫	insect	Insect		insect, inX, stick, mouth
蛍	lightning bug	Firefly		lightning-bug, schoolhouse, owl, one, animal legs, crown, insect
蛇	snake	Snake		snake, self, insect, wind chimes, house, spoon, sitting on the ground
虹	rainbow	Rainbow		rainbow, insect, craft
蝶	butterfly	Butterfly		butterfly, insect, Tarzan, generation, tree, wood
独	single	Alone		single, pack of wild dogs, insect
